device_id,model,battery_level,battery_status,cleaning_mode,noise_level,suction_power,navigation_type,carpet_detection,dust_container_status
V1000,RoboSweep X200,15,<25% - Segera Isi Daya,Maksimal,55,2000,LiDAR + vSLAM,Ada,35%
V101,RoboSweep X200,83,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,40%
V102,RoboSweep X150,56,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,80%
V103,RoboSweep X200,39,25-50%,Karpet,68,2500,LiDAR + vSLAM,Ada,35%
V104,RoboSweep X150,88,>75%,Senyap,50,2000,Giroskop,Tidak Ada,65%
V105,RoboSweep X200,27,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,20%
V106,RoboSweep X150,63,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,95%
V107,RoboSweep X200,16,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,50%
V108,RoboSweep X150,86,>75%,Senyap,50,2000,Giroskop,Tidak Ada,10%
V109,RoboSweep X200,46,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,75%
V110,RoboSweep X150,75,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,30%
V111,RoboSweep X200,19,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,55%
V112,RoboSweep X150,94,>75%,Senyap,50,2000,Giroskop,Tidak Ada,90%
V113,RoboSweep X200,59,50-75%,Standar,55,2500,LiDAR + vSLAM,Ada,45%
V114,RoboSweep X150,33,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,85%
V115,RoboSweep X200,13,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,25%
V116,RoboSweep X150,81,>75%,Senyap,50,2000,Giroskop,Tidak Ada,60%
V117,RoboSweep X200,49,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,15%
V118,RoboSweep X150,67,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,70%
V119,RoboSweep X200,24,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,40%
V120,RoboSweep X150,90,>75%,Senyap,50,2000,Giroskop,Tidak Ada,80%
V121,RoboSweep X200,56,50-75%,Standar,55,2500,LiDAR + vSLAM,Ada,35%
V122,RoboSweep X150,30,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,65%
V123,RoboSweep X200,98,>75%,Karpet,68,2500,LiDAR + vSLAM,Ada,20%
V124,RoboSweep X150,15,<25% - Segera Isi Daya,Senyap,50,2000,Giroskop,Tidak Ada,95%
V125,RoboSweep X200,79,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,50%
V126,RoboSweep X150,56,25-50%,Standar,65,2500,LiDAR + vSLAM,Ada,75%
V127,RoboSweep X150,93,>75%,Maksimal,68,2000,LiDAR + vSLAM,Ada,55%
V128,RoboSweep X200,78,<25% - Segera Isi Daya,Maksimal,50,2500,LiDAR + vSLAM,Ada,45%
V129,RoboSweep X200,90,<25% - Segera Isi Daya,Karpet,65,2000,Giroskop,Ada,15%
V130,RoboSweep X200,12,50-75%,Maksimal,55,2500,LiDAR + vSLAM,Ada,25%
V131,RoboSweep X150,84,>75%,Karpet,65,2000,Giroskop,Tidak Ada,25%
V132,RoboSweep X150,33,25-50%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,15%
V133,RoboSweep X150,62,50-75%,Maksimal,50,2000,LiDAR + vSLAM,Tidak Ada,40%
V134,RoboSweep X200,77,25-50%,Senyap,50,2000,LiDAR + vSLAM,Ada,35%
V135,RoboSweep X200,69,25-50%,Karpet,65,2000,LiDAR + vSLAM,Ada,45%
V136,RoboSweep X200,68,25-50%,Standar,65,2500,Giroskop,Ada,100%
V137,RoboSweep X150,44,<25% - Segera Isi Daya,Maksimal,65,2000,LiDAR + vSLAM,Tidak Ada,90%
V138,RoboSweep X150,48,>75%,Karpet,65,2000,Giroskop,Tidak Ada,40%
V139,RoboSweep X150,18,>75%,Standar,68,2500,LiDAR + vSLAM,Tidak Ada,70%
V140,RoboSweep X200,54,50-75%,Maksimal,50,2500,Giroskop,Tidak Ada,10%
V141,RoboSweep X150,66,50-75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,20%
V142,RoboSweep X200,17,50-75%,Standar,55,2000,LiDAR + vSLAM,Tidak Ada,20%
V143,RoboSweep X150,11,50-75%,Maksimal,68,2500,Giroskop,Tidak Ada,80%
V144,RoboSweep X150,64,>75%,Senyap,50,2500,LiDAR + vSLAM,Ada,40%
V145,RoboSweep X200,98,50-75%,Standar,68,2500,LiDAR + vSLAM,Tidak Ada,15%
V146,RoboSweep X200,44,>75%,Standar,68,2500,LiDAR + vSLAM,Tidak Ada,60%
V147,RoboSweep X200,22,<25% - Segera Isi Daya,Karpet,50,2500,Giroskop,Ada,30%
V148,RoboSweep X200,95,25-50%,Karpet,65,2500,LiDAR + vSLAM,Tidak Ada,100%
V149,RoboSweep X150,76,<25% - Segera Isi Daya,Maksimal,55,2000,Giroskop,Ada,40%
V150,RoboSweep X200,41,>75%,Maksimal,65,2500,Giroskop,Tidak Ada,80%
V151,RoboSweep X200,98,<25% - Segera Isi Daya,Standar,50,2000,LiDAR + vSLAM,Tidak Ada,45%
V152,RoboSweep X200,56,<25% - Segera Isi Daya,Maksimal,50,2500,LiDAR + vSLAM,Tidak Ada,30%
V153,RoboSweep X150,86,>75%,Karpet,50,2000,LiDAR + vSLAM,Ada,15%
V154,RoboSweep X150,11,>75%,Senyap,50,2500,LiDAR + vSLAM,Tidak Ada,50%
V155,RoboSweep X200,49,<25% - Segera Isi Daya,Senyap,55,2500,LiDAR + vSLAM,Tidak Ada,55%
V156,RoboSweep X150,33,25-50%,Standar,68,2000,Giroskop,Tidak Ada,95%
V157,RoboSweep X200,22,>75%,Maksimal,50,2500,LiDAR + vSLAM,Ada,45%
V158,RoboSweep X150,96,25-50%,Karpet,55,2500,Giroskop,Tidak Ada,100%
V159,RoboSweep X200,61,<25% - Segera Isi Daya,Karpet,55,2500,LiDAR + vSLAM,Ada,85%
V160,RoboSweep X200,88,25-50%,Maksimal,55,2500,LiDAR + vSLAM,Tidak Ada,60%
V161,RoboSweep X150,88,50-75%,Maksimal,50,2500,Giroskop,Tidak Ada,15%
V162,RoboSweep X150,46,50-75%,Maksimal,55,2500,LiDAR + vSLAM,Tidak Ada,25%
V163,RoboSweep X150,88,<25% - Segera Isi Daya,Standar,55,2000,LiDAR + vSLAM,Tidak Ada,35%
V164,RoboSweep X150,15,50-75%,Karpet,50,2500,LiDAR + vSLAM,Ada,100%
V165,RoboSweep X150,98,50-75%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,80%
V166,RoboSweep X200,53,25-50%,Senyap,68,2500,LiDAR + vSLAM,Ada,65%
V167,RoboSweep X200,38,>75%,Senyap,50,2500,LiDAR + vSLAM,Ada,100%
V168,RoboSweep X150,39,>75%,Maksimal,50,2500,LiDAR + vSLAM,Ada,55%
V169,RoboSweep X200,55,50-75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,35%
V170,RoboSweep X200,74,>75%,Karpet,65,2000,Giroskop,Ada,100%
V171,RoboSweep X200,72,<25% - Segera Isi Daya,Maksimal,55,2000,Giroskop,Ada,75%
V172,RoboSweep X200,58,25-50%,Standar,55,2500,Giroskop,Tidak Ada,40%
V173,RoboSweep X150,68,25-50%,Standar,55,2000,Giroskop,Ada,90%
V174,RoboSweep X150,94,<25% - Segera Isi Daya,Standar,50,2500,LiDAR + vSLAM,Ada,65%
V175,RoboSweep X150,23,>75%,Senyap,50,2500,LiDAR + vSLAM,Tidak Ada,45%
V176,RoboSweep X200,44,<25% - Segera Isi Daya,Senyap,65,2000,LiDAR + vSLAM,Ada,50%
V177,RoboSweep X150,41,50-75%,Senyap,50,2000,LiDAR + vSLAM,Tidak Ada,85%
V178,RoboSweep X150,67,>75%,Karpet,50,2000,LiDAR + vSLAM,Tidak Ada,30%
V179,RoboSweep X200,51,>75%,Karpet,55,2500,Giroskop,Tidak Ada,50%
V180,RoboSweep X150,16,50-75%,Senyap,50,2500,LiDAR + vSLAM,Tidak Ada,70%
V181,RoboSweep X200,35,<25% - Segera Isi Daya,Senyap,68,2500,Giroskop,Ada,90%
V182,RoboSweep X150,85,>75%,Karpet,65,2500,Giroskop,Ada,80%
V183,RoboSweep X200,66,<25% - Segera Isi Daya,Senyap,55,2000,LiDAR + vSLAM,Ada,40%
V184,RoboSweep X150,42,25-50%,Maksimal,68,2500,Giroskop,Ada,95%
V185,RoboSweep X200,84,50-75%,Maksimal,50,2500,LiDAR + vSLAM,Ada,25%
V186,RoboSweep X150,43,50-75%,Maksimal,68,2500,Giroskop,Ada,70%
V187,RoboSweep X200,81,<25% - Segera Isi Daya,Maksimal,68,2000,LiDAR + vSLAM,Tidak Ada,10%
V188,RoboSweep X150,65,25-50%,Maksimal,55,2500,Giroskop,Tidak Ada,65%
V189,RoboSweep X200,63,25-50%,Karpet,55,2000,LiDAR + vSLAM,Ada,20%
V190,RoboSweep X150,70,50-75%,Karpet,65,2000,Giroskop,Tidak Ada,65%
V191,RoboSweep X150,64,25-50%,Maksimal,55,2500,Giroskop,Ada,70%
V192,RoboSweep X200,42,>75%,Standar,68,2000,LiDAR + vSLAM,Tidak Ada,65%
V193,RoboSweep X200,31,>75%,Standar,50,2000,Giroskop,Ada,10%
V194,RoboSweep X150,16,<25% - Segera Isi Daya,Standar,68,2500,LiDAR + vSLAM,Tidak Ada,50%
V195,RoboSweep X150,85,25-50%,Standar,65,2000,Giroskop,Tidak Ada,50%
V196,RoboSweep X150,40,<25% - Segera Isi Daya,Karpet,50,2000,Giroskop,Tidak Ada,60%
V197,RoboSweep X200,71,25-50%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,85%
V198,RoboSweep X200,75,25-50%,Standar,55,2000,Giroskop,Ada,20%
V199,RoboSweep X150,77,50-75%,Standar,68,2500,Giroskop,Ada,70%
V200,RoboSweep X150,94,>75%,Standar,50,2000,LiDAR + vSLAM,Tidak Ada,40%
V201,RoboSweep X200,71,>75%,Karpet,50,2500,Giroskop,Ada,95%
V202,RoboSweep X150,45,<25% - Segera Isi Daya,Maksimal,50,2500,Giroskop,Ada,95%
V203,RoboSweep X200,30,>75%,Karpet,68,2500,LiDAR + vSLAM,Ada,65%
V204,RoboSweep X200,65,>75%,Senyap,65,2000,LiDAR + vSLAM,Tidak Ada,30%
V205,RoboSweep X150,46,50-75%,Standar,55,2500,Giroskop,Tidak Ada,20%
V206,RoboSweep X200,85,<25% - Segera Isi Daya,Karpet,65,2000,Giroskop,Ada,30%
V207,RoboSweep X150,80,>75%,Standar,65,2500,Giroskop,Tidak Ada,40%
V208,RoboSweep X150,23,<25% - Segera Isi Daya,Karpet,65,2500,Giroskop,Ada,25%
V209,RoboSweep X200,80,>75%,Senyap,50,2500,LiDAR + vSLAM,Ada,75%
V210,RoboSweep X150,32,>75%,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,50%
V211,RoboSweep X200,90,<25% - Segera Isi Daya,Senyap,55,2000,LiDAR + vSLAM,Ada,30%
V212,RoboSweep X150,53,50-75%,Senyap,55,2000,Giroskop,Ada,30%
V213,RoboSweep X200,61,>75%,Karpet,68,2000,LiDAR + vSLAM,Ada,15%
V214,RoboSweep X200,98,>75%,Maksimal,55,2500,Giroskop,Ada,90%
V215,RoboSweep X200,77,25-50%,Standar,65,2500,Giroskop,Ada,15%
V216,RoboSweep X200,12,25-50%,Karpet,65,2000,Giroskop,Ada,40%
V217,RoboSweep X200,91,50-75%,Senyap,68,2500,LiDAR + vSLAM,Ada,25%
V218,RoboSweep X150,57,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,75%
V219,RoboSweep X150,77,50-75%,Senyap,55,2000,Giroskop,Ada,60%
V220,RoboSweep X150,27,>75%,Maksimal,50,2500,LiDAR + vSLAM,Ada,15%
V221,RoboSweep X200,83,>75%,Standar,55,2500,Giroskop,Ada,55%
V222,RoboSweep X150,58,<25% - Segera Isi Daya,Senyap,55,2500,LiDAR + vSLAM,Ada,100%
V223,RoboSweep X150,82,25-50%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,65%
V224,RoboSweep X200,96,>75%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,50%
V225,RoboSweep X200,16,25-50%,Karpet,65,2000,Giroskop,Ada,100%
V226,RoboSweep X200,93,50-75%,Standar,55,2000,LiDAR + vSLAM,Tidak Ada,50%
V227,RoboSweep X150,49,>75%,Karpet,65,2000,LiDAR + vSLAM,Ada,90%
V228,RoboSweep X200,90,50-75%,Karpet,68,2000,Giroskop,Tidak Ada,45%
V229,RoboSweep X200,91,50-75%,Karpet,55,2000,Giroskop,Tidak Ada,30%
V230,RoboSweep X150,93,<25% - Segera Isi Daya,Standar,65,2000,Giroskop,Ada,90%
V231,RoboSweep X200,33,25-50%,Standar,65,2000,Giroskop,Ada,70%
V232,RoboSweep X200,21,25-50%,Karpet,55,2500,LiDAR + vSLAM,Ada,25%
V233,RoboSweep X150,14,50-75%,Maksimal,55,2000,Giroskop,Ada,40%
V234,RoboSweep X150,57,<25% - Segera Isi Daya,Senyap,68,2500,Giroskop,Tidak Ada,10%
V235,RoboSweep X200,18,25-50%,Maksimal,65,2500,Giroskop,Tidak Ada,60%
V236,RoboSweep X150,51,>75%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,40%
V237,RoboSweep X150,48,25-50%,Karpet,65,2000,Giroskop,Tidak Ada,95%
V238,RoboSweep X150,90,<25% - Segera Isi Daya,Maksimal,55,2500,LiDAR + vSLAM,Tidak Ada,90%
V239,RoboSweep X200,45,50-75%,Maksimal,68,2000,Giroskop,Ada,40%
V240,RoboSweep X150,88,25-50%,Maksimal,65,2000,Giroskop,Ada,35%
V241,RoboSweep X150,100,25-50%,Maksimal,55,2500,Giroskop,Ada,75%
V242,RoboSweep X200,73,50-75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,40%
V243,RoboSweep X150,18,50-75%,Standar,55,2500,LiDAR + vSLAM,Tidak Ada,45%
V244,RoboSweep X150,94,25-50%,Senyap,65,2000,Giroskop,Ada,20%
V245,RoboSweep X150,13,<25% - Segera Isi Daya,Standar,55,2500,Giroskop,Tidak Ada,90%
V246,RoboSweep X150,30,>75%,Karpet,65,2500,LiDAR + vSLAM,Tidak Ada,100%
V247,RoboSweep X200,72,<25% - Segera Isi Daya,Senyap,65,2000,LiDAR + vSLAM,Tidak Ada,20%
V248,RoboSweep X200,58,>75%,Standar,55,2500,LiDAR + vSLAM,Ada,90%
V249,RoboSweep X150,30,<25% - Segera Isi Daya,Standar,55,2000,LiDAR + vSLAM,Ada,35%
V250,RoboSweep X200,84,25-50%,Senyap,68,2000,LiDAR + vSLAM,Ada,65%
V251,RoboSweep X150,86,>75%,Senyap,65,2000,LiDAR + vSLAM,Ada,20%
V252,RoboSweep X200,81,<25% - Segera Isi Daya,Senyap,68,2000,Giroskop,Ada,75%
V253,RoboSweep X200,33,50-75%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,10%
V254,RoboSweep X200,38,25-50%,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,95%
V255,RoboSweep X200,48,>75%,Karpet,50,2500,Giroskop,Ada,25%
V256,RoboSweep X150,85,>75%,Maksimal,65,2500,LiDAR + vSLAM,Tidak Ada,65%
V257,RoboSweep X150,100,>75%,Senyap,50,2000,Giroskop,Tidak Ada,30%
V258,RoboSweep X200,11,50-75%,Maksimal,50,2000,Giroskop,Tidak Ada,80%
V259,RoboSweep X200,23,>75%,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,95%
V260,RoboSweep X150,78,25-50%,Senyap,55,2500,Giroskop,Ada,95%
V261,RoboSweep X150,34,<25% - Segera Isi Daya,Karpet,65,2000,Giroskop,Tidak Ada,70%
V262,RoboSweep X150,67,50-75%,Standar,55,2500,Giroskop,Tidak Ada,60%
V263,RoboSweep X150,30,50-75%,Karpet,68,2000,LiDAR + vSLAM,Tidak Ada,50%
V264,RoboSweep X150,16,>75%,Standar,55,2000,Giroskop,Ada,20%
V265,RoboSweep X150,19,25-50%,Standar,68,2500,LiDAR + vSLAM,Ada,30%
V266,RoboSweep X150,17,50-75%,Maksimal,65,2000,LiDAR + vSLAM,Ada,30%
V267,RoboSweep X150,89,50-75%,Standar,65,2000,LiDAR + vSLAM,Ada,45%
V268,RoboSweep X150,53,25-50%,Standar,50,2000,LiDAR + vSLAM,Ada,90%
V269,RoboSweep X200,49,<25% - Segera Isi Daya,Maksimal,50,2500,Giroskop,Tidak Ada,80%
V270,RoboSweep X150,17,25-50%,Maksimal,68,2500,Giroskop,Ada,30%
V271,RoboSweep X150,40,25-50%,Karpet,68,2000,Giroskop,Ada,10%
V272,RoboSweep X150,73,>75%,Senyap,65,2000,Giroskop,Ada,40%
V273,RoboSweep X150,94,>75%,Standar,65,2000,LiDAR + vSLAM,Tidak Ada,80%
V274,RoboSweep X150,45,50-75%,Maksimal,68,2500,LiDAR + vSLAM,Ada,45%
V275,RoboSweep X200,73,>75%,Maksimal,50,2500,Giroskop,Tidak Ada,20%
V276,RoboSweep X150,41,>75%,Standar,68,2500,Giroskop,Tidak Ada,90%
V277,RoboSweep X200,23,25-50%,Karpet,55,2500,Giroskop,Ada,10%
V278,RoboSweep X150,88,25-50%,Standar,65,2500,Giroskop,Tidak Ada,100%
V279,RoboSweep X150,97,25-50%,Standar,68,2500,Giroskop,Ada,85%
V280,RoboSweep X200,61,<25% - Segera Isi Daya,Standar,55,2000,Giroskop,Ada,20%
V281,RoboSweep X150,59,>75%,Maksimal,68,2000,Giroskop,Tidak Ada,60%
V282,RoboSweep X150,97,50-75%,Standar,65,2000,LiDAR + vSLAM,Tidak Ada,35%
V283,RoboSweep X150,83,50-75%,Karpet,68,2500,Giroskop,Ada,45%
V284,RoboSweep X200,88,<25% - Segera Isi Daya,Standar,65,2000,LiDAR + vSLAM,Ada,30%
